FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,toilette_type,etab_nom,geometry
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1cf,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines a eau},Nsp,POINT (1.2084144936801349 6.232198260945528)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d0,Maritime,Avé,Avé 1,Kévé,{Pissotieres},Epp Apeyeme Ga,POINT (0.9216566666666686 6.441445000000001)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d1,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines a eau},Nsp,POINT (1.1992270313184474 6.245705975129072)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d2,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines a eau},Nsp,POINT (1.2055344872862024 6.228390857616786)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d3,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines seches},Nsp,POINT (1.1907714138220673 6.219285702991217)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d4,Maritime,Yoto,Yoto 1,Amoussimé,{WCs},Nsp,POINT (1.5323816666666665 6.620015000000001)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d5,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,{Latrines seches},Nsp,POINT (1.2188700000000001 6.318848333333332)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d6,Savanes,Oti,Oti 1,Mango,{autre},Nsp,POINT (0.475720000000001 10.369216666666695)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d7,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,{Latrines seches},Nsp,POINT (1.2416614996427142 6.317494016168)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d8,Maritime,Avé,Avé 1,Kévé,"{Latrines seches,Pissotieres}",Lycee Keve,POINT (0.9196430952460866 6.438908681345684)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d9,Maritime,Avé,Avé 1,Kévé,{WCs},Ceg Anyron,POINT (0.9798950000000022 6.51212)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1da,Maritime,Avé,Avé 1,Kévé,{Latrines seches},Epp Apeyeme Ga,POINT (0.9221950000000009 6.4418116666666645)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1db,Maritime,Avé,Avé 1,Kévé,{Pissotieres},Ceg Anyron,POINT (0.9798066666666667 6.512088333333335)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1dc,Maritime,Avé,Avé 1,Assahoun,{Latrines seches},Epp Atti-apedokoe,POINT (0.8993051002523758 6.446458439069451)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1dd,Maritime,Avé,Avé 1,Assahoun,{Pissotieres},Lycee Assahoun College,POINT (0.907335 6.461774999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1de,Maritime,Avé,Avé 1,Ando,{Latrines seches},Ceg Ando-yoto,POINT (0.8509150000000012 6.477119999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1df,Maritime,Avé,Avé 1,Ando,{Latrines seches},Epp Akatikope,POINT (0.8454579646157967 6.432712048027597)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e0,Maritime,Avé,Avé 1,Ando,{Latrines seches},Cegil Ando-centre,POINT (0.8833966666666675 6.429786666666665)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e1,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,{Latrines seches},Nsp,POINT (1.6378716666666668 6.433234999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e2,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,{Latrines seches},Nsp,POINT (1.6379866666666665 6.4335466666666665)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e3,Savanes,Tandjoaré,Tandjoaré 2,Mamproug,Latrine assise,Nsp,POINT (-0.0182131607109088 10.6701788340191)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e4,Maritime,Avé,Avé 2,Badja,{WCs},Epl Amept Badja-avedji Lycee,POINT (1.050227903813508 6.399405901254807)
