"indicateurs","niveau","secteur","Unit","Date","Value"
"Nombre d'écoles","Total","Total","Number","2013","9732"
"Nombre d'écoles","Total","Total","Number","2014","10115"
"Nombre d'écoles","Total","Total","Number","2015","10542"
"Nombre d'écoles","Total","Total","Number","2016","11254"
"Nombre d'écoles","Total","Total","Number","2017","11976"
"Nombre d'écoles","Total","Total","Number","2018","12459"
"Nombre d'écoles","Total","Total","Number","2019","13060"
"Nombre d'écoles","Total","Total","Number","2020","14289"
"Nombre d'écoles","Total","Total","Number","2021","14664"
"Nombre d'écoles","Total","Total","Number","2022","15194"
"Nombre d'écoles","Total","Public","Number","2013","5813"
"Nombre d'écoles","Total","Public","Number","2014","6511"
"Nombre d'écoles","Total","Public","Number","2015","6884"
"Nombre d'écoles","Total","Public","Number","2016","7236"
"Nombre d'écoles","Total","Public","Number","2017","7442"
"Nombre d'écoles","Total","Public","Number","2018","7724"
"Nombre d'écoles","Total","Public","Number","2019","8035"
"Nombre d'écoles","Total","Public","Number","2020","8522"
"Nombre d'écoles","Total","Public","Number","2021","8716"
"Nombre d'écoles","Total","Public","Number","2022","9252"
"Nombre d'écoles","Total","Autres (Privés, confessionnelles, etc.)","Number","2013","3919"
"Nombre d'écoles","Total","Autres (Privés, confessionnelles, etc.)","Number","2014","3604"
"Nombre d'écoles","Total","Autres (Privés, confessionnelles, etc.)","Number","2015","3658"
"Nombre d'écoles","Total","Autres (Privés, confessionnelles, etc.)","Number","2016","4018"
"Nombre d'écoles","Total","Autres (Privés, confessionnelles, etc.)","Number","2017","4534"
"Nombre d'écoles","Total","Autres (Privés, confessionnelles, etc.)","Number","2018","4735"
"Nombre d'écoles","Total","Autres (Privés, confessionnelles, etc.)","Number","2019","5025"
"Nombre d'écoles","Total","Autres (Privés, confessionnelles, etc.)","Number","2020","5767"
"Nombre d'écoles","Total","Autres (Privés, confessionnelles, etc.)","Number","2021","5948"
"Nombre d'écoles","Total","Autres (Privés, confessionnelles, etc.)","Number","2022","5942"
"Nombre d'écoles","Jardins d'enfants","Total","Number","2013","1443"
"Nombre d'écoles","Jardins d'enfants","Total","Number","2014","1730"
"Nombre d'écoles","Jardins d'enfants","Total","Number","2015","1968"
"Nombre d'écoles","Jardins d'enfants","Total","Number","2016","2242"
"Nombre d'écoles","Jardins d'enfants","Total","Number","2017","2506"
"Nombre d'écoles","Jardins d'enfants","Total","Number","2018","2792"
"Nombre d'écoles","Jardins d'enfants","Total","Number","2019","3120"
"Nombre d'écoles","Jardins d'enfants","Total","Number","2020","3792"
"Nombre d'écoles","Jardins d'enfants","Total","Number","2021","3938"
"Nombre d'écoles","Jardins d'enfants","Total","Number","2022","4083"
"Nombre d'écoles","Jardins d'enfants","Public","Number","2013","727"
"Nombre d'écoles","Jardins d'enfants","Public","Number","2014","911"
"Nombre d'écoles","Jardins d'enfants","Public","Number","2015","1145"
"Nombre d'écoles","Jardins d'enfants","Public","Number","2016","1319"
"Nombre d'écoles","Jardins d'enfants","Public","Number","2017","1444"
"Nombre d'écoles","Jardins d'enfants","Public","Number","2018","1661"
"Nombre d'écoles","Jardins d'enfants","Public","Number","2019","1861"
"Nombre d'écoles","Jardins d'enfants","Public","Number","2020","2169"
