"indicateur","région","sexe","Unit","Date","Value"
"Taux de Promotion au primaire par région  (%)","TOGO","Total","%","2014","77.4"
"Taux de Promotion au primaire par région  (%)","TOGO","Total","%","2015","80"
"Taux de Promotion au primaire par région  (%)","TOGO","Total","%","2016","84.5"
"Taux de Promotion au primaire par région  (%)","TOGO","Total","%","2017","83.5"
"Taux de Promotion au primaire par région  (%)","TOGO","Total","%","2018","83.6"
"Taux de Promotion au primaire par région  (%)","TOGO","Total","%","2019","83.4"
"Taux de Promotion au primaire par région  (%)","TOGO","Masculin","%","2014","77.7"
"Taux de Promotion au primaire par région  (%)","TOGO","Masculin","%","2015","80.3"
"Taux de Promotion au primaire par région  (%)","TOGO","Masculin","%","2016","85"
"Taux de Promotion au primaire par région  (%)","TOGO","Masculin","%","2017","83.7"
"Taux de Promotion au primaire par région  (%)","TOGO","Masculin","%","2018","83.5"
"Taux de Promotion au primaire par région  (%)","TOGO","Masculin","%","2019","83.3"
"Taux de Promotion au primaire par région  (%)","TOGO","Féminin","%","2014","77.1"
"Taux de Promotion au primaire par région  (%)","TOGO","Féminin","%","2015","79.6"
"Taux de Promotion au primaire par région  (%)","TOGO","Féminin","%","2016","83.9"
"Taux de Promotion au primaire par région  (%)","TOGO","Féminin","%","2017","83.3"
"Taux de Promotion au primaire par région  (%)","TOGO","Féminin","%","2018","83.7"
"Taux de Promotion au primaire par région  (%)","TOGO","Féminin","%","2019","83.4"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Total","%","2014","80.8"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Total","%","2015","83.6"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Total","%","2016","92.1"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Total","%","2017","91.8"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Total","%","2018","89.3"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Total","%","2019","90.2"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Masculin","%","2014","80.8"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Masculin","%","2015","83.2"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Masculin","%","2016","92.9"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Masculin","%","2017","91.6"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Masculin","%","2018","89"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Masculin","%","2019","89.6"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Féminin","%","2014","80.9"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Féminin","%","2015","83.9"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Féminin","%","2016","91.2"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Féminin","%","2017","91.9"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Féminin","%","2018","89.6"
"Taux de Promotion au primaire par région  (%)","Lomé-Golfe","Féminin","%","2019","90.9"
"Taux de Promotion au primaire par région  (%)","Maritime","Total","%","2014","75"
"Taux de Promotion au primaire par région  (%)","Maritime","Total","%","2015","77.4"
"Taux de Promotion au primaire par région  (%)","Maritime","Total","%","2016","80.1"
"Taux de Promotion au primaire par région  (%)","Maritime","Total","%","2017","81.8"
"Taux de Promotion au primaire par région  (%)","Maritime","Total","%","2018","84.8"
"Taux de Promotion au primaire par région  (%)","Maritime","Total","%","2019","83.9"
"Taux de Promotion au primaire par région  (%)","Maritime","Masculin","%","2014","75.3"
"Taux de Promotion au primaire par région  (%)","Maritime","Masculin","%","2015","78"
"Taux de Promotion au primaire par région  (%)","Maritime","Masculin","%","2016","80.3"
"Taux de Promotion au primaire par région  (%)","Maritime","Masculin","%","2017","82.3"
"Taux de Promotion au primaire par région  (%)","Maritime","Masculin","%","2018","84.8"
"Taux de Promotion au primaire par région  (%)","Maritime","Masculin","%","2019","83.8"
"Taux de Promotion au primaire par région  (%)","Maritime","Féminin","%","2014","74.6"
"Taux de Promotion au primaire par région  (%)","Maritime","Féminin","%","2015","76.9"
