"indicateur","région","sexe","Unit","Date","Value"
"Admission au BEPC par région et par sexe (%)","Togo","Total","%","2011","60.8"
"Admission au BEPC par région et par sexe (%)","Togo","Total","%","2012","66.9"
"Admission au BEPC par région et par sexe (%)","Togo","Total","%","2013","59.9"
"Admission au BEPC par région et par sexe (%)","Togo","Total","%","2014","63.2"
"Admission au BEPC par région et par sexe (%)","Togo","Total","%","2015","65.4"
"Admission au BEPC par région et par sexe (%)","Togo","Total","%","2016","62"
"Admission au BEPC par région et par sexe (%)","Togo","Total","%","2017","66"
"Admission au BEPC par région et par sexe (%)","Togo","Total","%","2018","65"
"Admission au BEPC par région et par sexe (%)","Togo","Total","%","2019","56"
"Admission au BEPC par région et par sexe (%)","Togo","Total","%","2020","65.5"
"Admission au BEPC par région et par sexe (%)","Togo","Total","%","2021","65.9"
"Admission au BEPC par région et par sexe (%)","Togo","Total","%","2022","64.3"
"Admission au BEPC par région et par sexe (%)","Togo","Masculin","%","2011","64.6"
"Admission au BEPC par région et par sexe (%)","Togo","Masculin","%","2012","70.2"
"Admission au BEPC par région et par sexe (%)","Togo","Masculin","%","2013","65"
"Admission au BEPC par région et par sexe (%)","Togo","Masculin","%","2014","66.3"
"Admission au BEPC par région et par sexe (%)","Togo","Masculin","%","2015","68.4"
"Admission au BEPC par région et par sexe (%)","Togo","Masculin","%","2016","66.3"
"Admission au BEPC par région et par sexe (%)","Togo","Masculin","%","2017","68"
"Admission au BEPC par région et par sexe (%)","Togo","Masculin","%","2018","68"
"Admission au BEPC par région et par sexe (%)","Togo","Masculin","%","2019","59"
"Admission au BEPC par région et par sexe (%)","Togo","Masculin","%","2020","69.2"
"Admission au BEPC par région et par sexe (%)","Togo","Masculin","%","2021","70"
"Admission au BEPC par région et par sexe (%)","Togo","Masculin","%","2022","67"
"Admission au BEPC par région et par sexe (%)","Togo","Féminin","%","2011","54"
"Admission au BEPC par région et par sexe (%)","Togo","Féminin","%","2012","61.4"
"Admission au BEPC par région et par sexe (%)","Togo","Féminin","%","2013","52"
"Admission au BEPC par région et par sexe (%)","Togo","Féminin","%","2014","58.4"
"Admission au BEPC par région et par sexe (%)","Togo","Féminin","%","2015","60.9"
"Admission au BEPC par région et par sexe (%)","Togo","Féminin","%","2016","55.5"
"Admission au BEPC par région et par sexe (%)","Togo","Féminin","%","2017","62"
"Admission au BEPC par région et par sexe (%)","Togo","Féminin","%","2018","61"
"Admission au BEPC par région et par sexe (%)","Togo","Féminin","%","2019","52.4"
"Admission au BEPC par région et par sexe (%)","Togo","Féminin","%","2020","61.1"
"Admission au BEPC par région et par sexe (%)","Togo","Féminin","%","2021","61.1"
"Admission au BEPC par région et par sexe (%)","Togo","Féminin","%","2022","61.1"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Total","%","2011","58.5"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Total","%","2012","60.2"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Total","%","2013","48.8"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Total","%","2014","59.6"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Total","%","2015","65.6"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Total","%","2016","62.3"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Total","%","2017","71.2"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Total","%","2018","66"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Total","%","2019","56.4"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Total","%","2020","65.2"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Total","%","2021","59.3"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Total","%","2022","54.7"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Masculin","%","2011","63.5"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Masculin","%","2012","63.8"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Masculin","%","2013","54.1"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Masculin","%","2014","62.1"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Masculin","%","2015","68.7"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Masculin","%","2016","67"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Masculin","%","2017","73.9"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Masculin","%","2018","68.7"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Masculin","%","2019","59.1"
