"indicateur","région","sexe","Unit","Date","Value"
"Taux de transition primaire/secondaire 1","Togo","Total","%","2014","69.8"
"Taux de transition primaire/secondaire 1","Togo","Total","%","2015","70.1"
"Taux de transition primaire/secondaire 1","Togo","Total","%","2016","72.7"
"Taux de transition primaire/secondaire 1","Togo","Total","%","2017","72.5"
"Taux de transition primaire/secondaire 1","Togo","Total","%","2018","70.4"
"Taux de transition primaire/secondaire 1","Togo","Total","%","2019","69.1"
"Taux de transition primaire/secondaire 1","Togo","Total","%","2020","71.9"
"Taux de transition primaire/secondaire 1","Togo","Total","%","2021","75"
"Taux de transition primaire/secondaire 1","Togo","Total","%","2022","75.1"
"Taux de transition primaire/secondaire 1","Togo","Masculin","%","2014","72.2"
"Taux de transition primaire/secondaire 1","Togo","Masculin","%","2015","72.5"
"Taux de transition primaire/secondaire 1","Togo","Masculin","%","2016","75.8"
"Taux de transition primaire/secondaire 1","Togo","Masculin","%","2017","74.8"
"Taux de transition primaire/secondaire 1","Togo","Masculin","%","2018","72.8"
"Taux de transition primaire/secondaire 1","Togo","Masculin","%","2019","71"
"Taux de transition primaire/secondaire 1","Togo","Masculin","%","2020","74.2"
"Taux de transition primaire/secondaire 1","Togo","Masculin","%","2021","76.5"
"Taux de transition primaire/secondaire 1","Togo","Masculin","%","2022","76.5"
"Taux de transition primaire/secondaire 1","Togo","Féminin","%","2014","66.9"
"Taux de transition primaire/secondaire 1","Togo","Féminin","%","2015","67.1"
"Taux de transition primaire/secondaire 1","Togo","Féminin","%","2016","69.2"
"Taux de transition primaire/secondaire 1","Togo","Féminin","%","2017","70"
"Taux de transition primaire/secondaire 1","Togo","Féminin","%","2018","67.8"
"Taux de transition primaire/secondaire 1","Togo","Féminin","%","2019","67.2"
"Taux de transition primaire/secondaire 1","Togo","Féminin","%","2020","69.5"
"Taux de transition primaire/secondaire 1","Togo","Féminin","%","2021","73.4"
"Taux de transition primaire/secondaire 1","Togo","Féminin","%","2022","73.7"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Total","%","2014","68.4"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Total","%","2015","68.6"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Total","%","2016","65.5"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Total","%","2017","85"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Total","%","2018","79.5"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Total","%","2019","80"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Total","%","2020","83.4"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Total","%","2021","83.9"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Total","%","2022","86.1"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Masculin","%","2014","70.6"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Masculin","%","2015","70.9"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Masculin","%","2016","67.1"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Masculin","%","2017","85.9"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Masculin","%","2018","80.6"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Masculin","%","2019","81.3"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Masculin","%","2020","85.2"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Masculin","%","2021","83.5"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Masculin","%","2022","86.4"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Féminin","%","2014","66.3"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Féminin","%","2015","66.6"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Féminin","%","2016","64.1"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Féminin","%","2017","84.2"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Féminin","%","2018","78.6"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Féminin","%","2019","78.9"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Féminin","%","2020","81.7"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Féminin","%","2021","84.3"
"Taux de transition primaire/secondaire 1","Lomé-Golfe","Féminin","%","2022","85.9"
"Taux de transition primaire/secondaire 1","Maritime","Total","%","2014","55.9"
"Taux de transition primaire/secondaire 1","Maritime","Total","%","2015","56.1"
"Taux de transition primaire/secondaire 1","Maritime","Total","%","2016","64.2"
"Taux de transition primaire/secondaire 1","Maritime","Total","%","2017","71.8"
"Taux de transition primaire/secondaire 1","Maritime","Total","%","2018","74.3"
"Taux de transition primaire/secondaire 1","Maritime","Total","%","2019","70.4"
"Taux de transition primaire/secondaire 1","Maritime","Total","%","2020","73.9"
"Taux de transition primaire/secondaire 1","Maritime","Total","%","2021","77"
"Taux de transition primaire/secondaire 1","Maritime","Total","%","2022","74.8"
"Taux de transition primaire/secondaire 1","Maritime","Masculin","%","2014","58.9"
"Taux de transition primaire/secondaire 1","Maritime","Masculin","%","2015","59.1"
"Taux de transition primaire/secondaire 1","Maritime","Masculin","%","2016","66.9"
"Taux de transition primaire/secondaire 1","Maritime","Masculin","%","2017","74.1"
"Taux de transition primaire/secondaire 1","Maritime","Masculin","%","2018","76.4"
"Taux de transition primaire/secondaire 1","Maritime","Masculin","%","2019","72.2"
"Taux de transition primaire/secondaire 1","Maritime","Masculin","%","2020","75.7"
"Taux de transition primaire/secondaire 1","Maritime","Masculin","%","2021","78.4"
"Taux de transition primaire/secondaire 1","Maritime","Masculin","%","2022","76.1"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2014","52.2"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2015","52.4"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2016","61"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2017","69.1"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2018","72"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2019","68.5"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2020","71.9"
