indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Adolescents out of school (% of lower secondary school age),Togo,TGO,2023,24.8296604156494,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2022,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2021,18.4800300598145,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2020,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2019,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2018,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2017,21.6028804779053,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2016,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2015,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2014,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2013,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2012,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2011,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2010,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2009,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2008,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2007,40.2749900817871,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2006,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2005,34.6529197692871,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2004,35.1401405334473,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2003,34.6095581054688,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2002,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2001,37.2450103759766,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,2000,38.856330871582,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1999,33.1988906860352,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1998,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1997,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1996,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1995,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1994,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1993,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1992,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1991,44.3483009338379,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1990,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1989,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1988,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1987,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1986,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1985,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1984,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1983,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1982,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1981,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1980,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1979,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1978,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1977,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1976,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1975,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1974,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1973,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1972,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1971,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1970,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1969,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1968,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1967,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1966,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1965,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1964,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1963,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1962,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1961,,,,0
Adolescents out of school (% of lower secondary school age),Togo,TGO,1960,,,,0
