"indicateur","secteur","type-salle","region","sexe","Unit","Date","Value"
"Nombre Etablissements","Collège","Total","Togo","Total","","2015","1472"
"Nombre Etablissements","Collège","Total","Golfe Lomé","Total","","2015","372"
"Nombre Etablissements","Collège","Total","Maritime","Total","","2015","292"
"Nombre Etablissements","Collège","Total","Plateaux","Total","","2015","320"
"Nombre Etablissements","Collège","Total","Centrale","Total","","2015","158"
"Nombre Etablissements","Collège","Total","Kara","Total","","2015","180"
"Nombre Etablissements","Collège","Total","Savanes","Total","","2015","150"
"Nombre Etablissements","Lycée","Total","Togo","Total","","2015","360"
"Nombre Etablissements","Lycée","Total","Golfe Lomé","Total","","2015","94"
"Nombre Etablissements","Lycée","Total","Maritime","Total","","2015","52"
"Nombre Etablissements","Lycée","Total","Plateaux","Total","","2015","68"
"Nombre Etablissements","Lycée","Total","Centrale","Total","","2015","48"
"Nombre Etablissements","Lycée","Total","Kara","Total","","2015","53"
"Nombre Etablissements","Lycée","Total","Savanes","Total","","2015","45"
"Nombre de salles de classe","Collège","Dur","Togo","Total","","2015","6551"
"Nombre de salles de classe","Collège","Dur","Golfe Lomé","Total","","2015","2055"
"Nombre de salles de classe","Collège","Dur","Maritime","Total","","2015","1230"
"Nombre de salles de classe","Collège","Dur","Plateaux","Total","","2015","1067"
"Nombre de salles de classe","Collège","Dur","Centrale","Total","","2015","685"
"Nombre de salles de classe","Collège","Dur","Kara","Total","","2015","852"
"Nombre de salles de classe","Collège","Dur","Savanes","Total","","2015","662"
"Nombre de salles de classe","Collège","Banco","Togo","Total","","2015","352"
"Nombre de salles de classe","Collège","Banco","Golfe Lomé","Total","","2015","48"
"Nombre de salles de classe","Collège","Banco","Maritime","Total","","2015","59"
"Nombre de salles de classe","Collège","Banco","Plateaux","Total","","2015","104"
"Nombre de salles de classe","Collège","Banco","Centrale","Total","","2015","58"
"Nombre de salles de classe","Collège","Banco","Kara","Total","","2015","33"
"Nombre de salles de classe","Collège","Banco","Savanes","Total","","2015","50"
"Nombre de salles de classe","Collège","Autres","Togo","Total","","2015","1139"
"Nombre de salles de classe","Collège","Autres","Golfe Lomé","Total","","2015","73"
"Nombre de salles de classe","Collège","Autres","Maritime","Total","","2015","231"
"Nombre de salles de classe","Collège","Autres","Plateaux","Total","","2015","457"
"Nombre de salles de classe","Collège","Autres","Centrale","Total","","2015","144"
"Nombre de salles de classe","Collège","Autres","Kara","Total","","2015","86"
"Nombre de salles de classe","Collège","Autres","Savanes","Total","","2015","148"
"Nombre de salles de classe","Collège","Total","Togo","Total","","2015","8042"
"Nombre de salles de classe","Collège","Total","Golfe Lomé","Total","","2015","2176"
"Nombre de salles de classe","Collège","Total","Maritime","Total","","2015","1520"
"Nombre de salles de classe","Collège","Total","Plateaux","Total","","2015","1628"
"Nombre de salles de classe","Collège","Total","Centrale","Total","","2015","887"
"Nombre de salles de classe","Collège","Total","Kara","Total","","2015","971"
"Nombre de salles de classe","Collège","Total","Savanes","Total","","2015","860"
"Nombre de salles de classe","Lycée","Dur","Togo","Total","","2015","2360"
"Nombre de salles de classe","Lycée","Dur","Golfe Lomé","Total","","2015","749"
"Nombre de salles de classe","Lycée","Dur","Maritime","Total","","2015","325"
"Nombre de salles de classe","Lycée","Dur","Plateaux","Total","","2015","402"
"Nombre de salles de classe","Lycée","Dur","Centrale","Total","","2015","301"
"Nombre de salles de classe","Lycée","Dur","Kara","Total","","2015","346"
"Nombre de salles de classe","Lycée","Dur","Savanes","Total","","2015","237"
"Nombre de salles de classe","Lycée","Banco","Togo","Total","","2015","64"
