"indicateur","inspections","sexe","Unit","Date","Value"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.Général","Total","Nombre","2022","7802"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.Général","Masculin","Nombre","2022","638"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.Général","Féminin","Nombre","2022","7164"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Grand Lomé","Total","Nombre","2022","1710"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Grand Lomé","Masculin","Nombre","2022","70"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Grand Lomé","Féminin","Nombre","2022","1640"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agoenyive Est","Total","Nombre","2022","335"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agoenyive Est","Masculin","Nombre","2022","34"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agoenyive Est","Féminin","Nombre","2022","301"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agoenyive Ouest","Total","Nombre","2022","311"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agoenyive Ouest","Masculin","Nombre","2022","7"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agoenyive Ouest","Féminin","Nombre","2022","304"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Aéroport","Total","Nombre","2022","203"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Aéroport","Masculin","Nombre","2022","1"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Aéroport","Féminin","Nombre","2022","202"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Centre","Total","Nombre","2022","216"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Centre","Masculin","Nombre","2022","8"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Centre","Féminin","Nombre","2022","208"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Est","Total","Nombre","2022","190"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Est","Masculin","Nombre","2022","2"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Est","Féminin","Nombre","2022","188"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Ouest","Total","Nombre","2022","235"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Ouest","Masculin","Nombre","2022","4"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Ouest","Féminin","Nombre","2022","231"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Sud","Total","Nombre","2022","220"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Sud","Masculin","Nombre","2022","14"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Sud","Féminin","Nombre","2022","206"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Maritime","Total","Nombre","2022","992"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Maritime","Masculin","Nombre","2022","85"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Maritime","Féminin","Nombre","2022","907"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Ave","Total","Nombre","2022","101"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Ave","Masculin","Nombre","2022","6"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Ave","Féminin","Nombre","2022","95"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Bas mono","Total","Nombre","2022","51"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Bas mono","Masculin","Nombre","2022","6"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Bas mono","Féminin","Nombre","2022","45"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lacs Est","Total","Nombre","2022","51"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lacs Est","Masculin","Nombre","2022","5"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lacs Est","Féminin","Nombre","2022","46"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lacs Ouest","Total","Nombre","2022","111"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lacs Ouest","Masculin","Nombre","2022","4"
