id,number,joint_subproject_number,title,type,subproject_type_designation,sector,works_type,component,projects,financiers,status,current_status_of_the_site,progress_percent,progress_value,estimated_cost,contract_amount_work_companies,total_contract_amount_paid,amount_of_the_care_and_maintenance_fund_expected,care_and_maintenance_amount_on_village_account,date_signature_contract_work_companies,date_signature_contract_efme,contract_companies_amount_for_efme,date_signature_contract_controllers_in_SES,date_of_signature_of_contract_for_construction_supervisors,approval_date_cora,launch_date,expected_duration,expected_end_date,work_completion_date,date_of_technical_acceptance_of_work,date_of_provisional_acceptance_of_work,official_handover_date_to_community,existence_of_maintenance_plan,wave,number_of_classrooms,number_of_infrastructures,population,direct_beneficiaries_men,direct_beneficiaries_women,women_s_group,youth_group,breeders_farmers_group,ethnic_minority_group,date_of_organization_of_the_social_audit,number_of_participants_m_in_social_audit,number_of_participants_w_in_social_audit,number_of_participants_t_in_social_audit,beneficiary_villages_count,beneficiary_villages,list_of_villages_crossed_by_track_or_electrification,infrastructure_changed,infrastructure_deleted,level_of_achievement_donation_certificate,comments,location_name,latitude,longitude,hierarchy,geometry,link_to_subproject,depth_of_drilling,drilling_flow_rate,number_of_latrine_blocks,has_latrine_blocs,storage_capacity,official_handover_date_to_sector,length_of_the_track,extension_length,number_of_drinking_fountains,estimated_number_of_beneficiaries,refugee_and_internally_displaced_persons_group,has_fence,number_of_sections_of_track_developed,amount_of_the_controllers_contract_in_SES,amount_of_the_contract_for_construction_supervisors,date_signature_contract_facilitator,amount_of_the_facilitator_contract,amount_spent_on_completing_the_infrastructure,amount_spent_on_infrastructure_up_to_provisional_acceptance,number_of_streetlights,distance_covered_by_streetlights,canton,market_name
589,7,6,"Construction d'un bâtiment scolaire de 4 classes, bureau, magasin + forage au CEG Agbansikiti + équipements",Bâtiments scolaires au premier cycle du secondaire (CEG),Subproject,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,0.0,100.0,40000000.0,30003637.0,34035579.0,500000.0,250000.0,2024-01-08,2024-02-05,4031942.0,2024-02-02,2024-02-02,2023-05-02,2024-01-17,5.0,2024-06-16,2025-02-24,2025-03-28,2025-03-28,,True,3,4.0,1,1300.0,637.0,663.0,True,True,True,True,2025-11-26,36.0,15.0,51.0,1,1929,[],,False,Juge,,AGBANSIKITI,8.691495,1.619747,AGBANSIKITI > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.619747 8.691495),,,,2.0,True,,,,,,,,,,,,,,,,,,,
592,10,8,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage à l'EPP Boléa + équipements",Bâtiments scolaires au primaire,Subproject,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,100.0,100.0,30000000.0,25335391.0,28335364.0,500000.0,250000.0,2024-01-08,2024-02-05,2999973.0,2024-02-01,2024-02-01,2023-05-02,2023-10-30,5.0,2024-03-29,2024-08-01,2024-08-01,2024-08-16,2025-08-27,False,3,3.0,1,2500.0,1225.0,1275.0,True,True,True,True,2024-11-06,47.0,27.0,74.0,1,1931,[],,False,Chef Canton,,BOLEA,8.528625,1.612648,BOLEA > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.612648 8.528625),,,,2.0,True,,,,,,,,,,,,,,,,,,,
594,12,9,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Dogodè + équipements ",Bâtiments scolaires au primaire,Subproject,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,100.0,100.0,30000000.0,25100474.0,28166409.0,250000.0,250000.0,2024-01-08,2024-02-05,3065935.0,2024-01-12,2024-02-06,2023-05-02,2024-01-15,5.0,2024-06-15,2024-11-30,2024-12-03,2024-12-03,2026-03-24,False,3,3.0,1,752.0,352.0,400.0,True,True,True,True,2025-11-29,38.0,16.0,54.0,1,1932,[],True,False,Juge,,DOGODE,8.786747,1.630917,DOGODE > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.630917 8.786747),,,,2.0,True,,,,,,,,,,,,,,,,,,,
599,17,13,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Katankou + équipements ",Bâtiments scolaires au primaire,Subproject,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,100.0,100.0,30000000.0,25286213.0,28384421.0,250000.0,281671.0,2023-09-18,2024-02-05,3098208.0,2023-08-07,2023-10-05,2023-05-02,2023-09-22,5.0,2024-02-22,2024-09-12,2025-05-09,2024-09-12,2025-11-12,True,3,3.0,1,460.0,253.0,207.0,True,True,True,True,2024-11-01,48.0,42.0,90.0,1,1934,[],True,False,Juge,,KATANKOU,8.778387,1.596722,KATANKOU > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.596722 8.778387),,,,2.0,True,,,,,,,,,,,,,,,,,,,
601,19,14,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Lakaba + équipements ",Bâtiments scolaires au primaire,Subproject,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,100.0,100.0,30000000.0,25100474.0,28198682.0,,250000.0,2024-01-08,2024-02-05,3098208.0,2023-08-06,2024-02-01,2023-05-02,2024-01-17,5.0,2024-06-16,2024-12-03,2024-12-03,2024-12-03,2026-03-24,True,3,3.0,1,700.0,343.0,357.0,True,True,True,True,2024-12-13,53.0,34.0,87.0,1,4025,[],True,False,Juge,,LAKABA,0.0,0.0,LAKABA > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(0.0 0.0),,,,2.0,True,,,,,,,,,,,,,,,,,,,
604,22,16,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Samaï + équipements ",Bâtiments scolaires au primaire,Subproject,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,100.0,100.0,30000000.0,28424550.0,31490485.0,,250000.0,2024-01-08,2024-02-05,3065935.0,2023-08-01,2024-02-01,2023-05-02,2023-10-30,5.0,2024-03-29,2024-07-29,2024-08-08,2024-08-16,2025-08-27,True,3,3.0,1,2050.0,1004.0,1046.0,True,True,True,True,2024-12-06,56.0,20.0,76.0,1,4021,[],True,False,Juge,,SAMAI,0.0,0.0,SAMAI > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(0.0 0.0),,,,2.0,True,,,,,,,,,,,,,,,,,,,
608,26,18,Construction d’un bâtiment scolaire de 2 classes au JEP+bureau-magasin+forage+2 blocs latrines +mobilier,Bâtiments scolaires au préscolaire,Subproject,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Remise de l'ouvrage à la communauté 100.0%,Réception définitive,100.0,100.0,30000000.0,25463479.0,27253539.0,250000.0,253000.0,2023-12-18,2024-04-22,1790060.0,2023-07-21,2023-12-26,2023-05-02,2023-12-20,5.0,2024-05-18,2024-07-23,2024-07-17,2024-08-07,2025-07-22,True,3,2.0,1,1455.0,473.0,507.0,True,True,,,2024-08-30,43.0,28.0,71.0,1,1940,[],,False,Juge,,ALAMBOURGOU,9.728233,1.318252,ALAMBOURGOU > PAGOUDA > BINAH 1 > BINAH > KARA,POINT(1.318252 9.728233),,,,2.0,True,,,,,,,,,,,,,,,,,,,
610,28,19,Construction d’un bâtiment scolaire de 4 classes +bureau – magasin +forage +mobilier+ 2 blocs latrines au CEG,Bâtiments scolaires au premier cycle du secondaire (CEG),Subproject,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Remise de l'ouvrage à la communauté 100.0%,Réception provisoire,100.0,100.0,40000000.0,32338146.0,36367846.0,250000.0,542000.0,2024-01-08,2024-04-17,4029700.0,2023-07-21,2024-01-12,2023-05-02,2024-01-16,5.0,2024-06-16,2024-09-09,2024-09-09,2024-09-12,2024-09-12,True,3,4.0,1,5545.0,1911.0,3149.0,True,True,,True,2024-12-04,118.0,86.0,204.0,1,1941,[],,False,Juge,,ASSERE,9.79981,1.297458,ASSERE > PAGOUDA > BINAH 1 > BINAH > KARA,POINT(1.297458 9.79981),,,,2.0,True,,,,,,,,,,,,,,,,,,,
616,34,23,Construction d’un bâtiment scolaire de 3 classes+bureau-magasin+forage+2 blocs latrines+ mobilier à l’EPP,Bâtiments scolaires au primaire,Subproject,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,10.0,100.0,30000000.0,28320797.0,31347497.0,,250000.0,2024-05-03,2024-04-16,3026700.0,,,2023-05-02,2024-05-09,4.0,2024-09-08,2024-09-13,2025-10-01,2024-10-01,2025-10-31,True,3,3.0,1,1984.0,972.0,1012.0,True,,True,True,2024-10-28,69.0,40.0,109.0,1,1945,[],,False,N/A (ancien site),,KAWA,9.7395583,1.3083467,KAWA > PAGOUDA > BINAH 1 > BINAH > KARA,POINT(1.3083467 9.7395583),,,,2.0,True,,2025-10-31,,,,,,,,,,,,,,,,,
618,36,24,Construction d’un bâtiment scolaire de 2 classes (au JEP) +bureau-magasin+forage+2 blocs latrines+ mobilier,Bâtiments scolaires au préscolaire,Subproject,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Remise de l'ouvrage à la communauté 100.0%,Réception définitive,100.0,100.0,30000000.0,24105084.0,26197224.0,,100000.0,2023-12-08,2024-04-05,2092140.0,,,2023-05-02,2023-12-13,5.0,2024-07-12,2024-06-01,2024-06-05,2024-06-13,2025-07-09,True,3,2.0,1,1011.0,446.0,565.0,,,,True,2024-10-04,90.0,81.0,171.0,1,1946,[],,False,Juge,,KPANAHORE,,,KPANAHORE > PAGOUDA > BINAH 1 > BINAH > KARA,,,,,2.0,True,,2024-04-13,,,,,,,,,,,,,,,,,
